ID,AcousticID,DateTime,X,Y,D,Lat,Long,Easting,Northing,n,HPE,HPEm,DRX,URX,DateTimeUTC
Ref3,65055,2014-04-19T23:36:32Z,1099.54,1180.48,0.488,51.621238,-124.144511,420768.52039652894,5719532.978096298,8,10.8,0.9,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-19T23:36:32Z
Ref5,25316,2014-04-19T23:44:55Z,1261.79,1716.87,0.45,51.626059,-124.142168,420939.09506271646,5720066.587019596,8,10.7,0.3,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-19T23:44:55Z
Ref3,65055,2014-04-19T23:46:03Z,1099.52,1180.42,0.488,51.621238,-124.144511,420768.52039652894,5719532.978096298,8,10.8,1,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-19T23:46:03Z
Ref5,25316,2014-04-19T23:53:30Z,1261.84,1716.94,0.45,51.62606,-124.142167,420939.16601891106,5720066.697148385,8,10.7,0.2,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-19T23:53:30Z
Ref3,65055,2014-04-19T23:56:42Z,1099.15,1180.43,0.488,51.621238,-124.144516,420768.1742702136,5719532.983517114,7,10.8,1,R08 R09 R10 R11 R12 R14,R08 R09 R10 R11 R12 R14,2014-04-19T23:56:42Z
Ref5,25316,2014-04-20T00:02:14Z,1261.84,1716.92,0.45,51.62606,-124.142167,420939.16601891106,5720066.697148385,8,10.7,0.2,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T00:02:14Z
Ref3,65055,2014-04-20T00:06:17Z,1099.17,1180.4,0.488,51.621237,-124.144516,420768.1725284988,5719532.872306534,7,10.8,1,R08 R09 R10 R11 R12 R14,R08 R09 R10 R11 R12 R14,2014-04-20T00:06:17Z
Ref5,25316,2014-04-20T00:11:20Z,1261.88,1716.69,0.45,51.626058,-124.142166,420939.231760337,5720066.473645115,8,10.7,0.5,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T00:11:20Z
Ref3,65055,2014-04-20T00:17:01Z,1099.44,1180.57,0.488,51.621239,-124.144512,420768.4529129729,5719533.090391038,8,10.8,0.8,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-20T00:17:01Z
Ref5,25316,2014-04-20T00:21:09Z,1261.72,1716.81,0.45,51.626059,-124.142169,420939.0258447803,5720066.588101495,8,10.7,0.4,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T00:21:09Z
Ref3,65055,2014-04-20T00:26:47Z,1099.24,1180.73,0.488,51.62124,-124.144515,420768.24697890336,5719533.204854105,4,11,0.7,R09 R10 R12 R13 R14,R09 R10 R12 R13 R14,2014-04-20T00:26:47Z
Ref2,65056,2014-04-20T00:31:04Z,1219.66,1422.46,0.25,51.623413,-124.142776,420892.4087627753,5719772.981588287,1,16.3,1.4,R02 R03 R06 R07 R08,R02 R03 R06,2014-04-20T00:31:04Z
Ref5,25316,2014-04-20T00:32:24Z,1261.83,1717.08,0.45,51.626061,-124.142167,420939.1677571677,5720066.808359074,8,10.7,0.1,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T00:32:24Z
Ref3,65055,2014-04-20T00:37:54Z,1099.04,1180.74,0.488,51.62124,-124.144518,420768.0393031233,5719533.208106603,7,10.8,0.8,R08 R09 R10 R11 R12 R14,R08 R09 R10 R11 R12 R14,2014-04-20T00:37:54Z
Ref2,65056,2014-04-20T00:42:00Z,1222,1421.97,0.25,51.623409,-124.142742,420894.7553532107,5719772.49994138,1,12,1.5,R05 R06 R07 R08 R10,R05 R06 R07,2014-04-20T00:42:00Z
Ref5,25316,2014-04-20T00:43:10Z,1261.6,1717.09,0.45,51.626061,-124.14217,420938.960103365,5720066.81160477,8,10.7,0.4,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T00:43:10Z
Ref3,65055,2014-04-20T00:48:27Z,1099.24,1180.79,0.488,51.621241,-124.144515,420768.2487206166,5719533.316064684,8,10.8,0.7,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-20T00:48:27Z
Ref5,25316,2014-04-20T00:53:01Z,1261.56,1717.16,0.45,51.626062,-124.142171,420938.89262369304,5720066.923897357,8,10.7,0.4,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T00:53:01Z
Ref3,65055,2014-04-20T00:57:49Z,1099.02,1180.61,0.488,51.621239,-124.144518,420768.03756140545,5719533.096896025,7,10.8,0.9,R08 R09 R10 R11 R12 R14,R08 R09 R10 R11 R12 R14,2014-04-20T00:57:49Z
Ref5,25316,2014-04-20T01:04:19Z,1261.75,1717.53,0.45,51.626065,-124.142168,420939.1054922661,5720067.254283721,8,10.7,0.4,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T01:04:19Z
Ref3,65055,2014-04-20T01:08:08Z,1099.32,1180.63,0.488,51.621239,-124.144514,420768.3144624515,5719533.092559364,8,10.8,0.8,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-20T01:08:08Z
Ref5,25316,2014-04-20T01:15:11Z,1261.75,1717.91,0.45,51.626068,-124.142168,420939.11070704134,5720067.587915785,8,10.7,0.8,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T01:15:11Z
Ref3,65055,2014-04-20T01:17:03Z,1099.27,1180.59,0.488,51.621239,-124.144515,420768.24523719,5719533.0936435275,8,10.8,0.8,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-20T01:17:03Z
Ref5,25316,2014-04-20T01:25:12Z,1261.71,1717.77,0.45,51.626067,-124.142169,420939.03975085897,5720067.477786995,8,10.7,0.7,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T01:25:12Z
Ref3,65055,2014-04-20T01:26:29Z,1099.48,1180.48,0.488,51.621238,-124.144512,420768.45117126417,5719532.979180459,8,10.8,0.9,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-20T01:26:29Z
Ref3,65055,2014-04-20T01:36:58Z,1099.26,1180.69,0.488,51.62124,-124.144515,420768.24697890336,5719533.204854105,7,10.8,0.7,R08 R09 R10 R11 R12 R14,R08 R09 R10 R11 R12 R14,2014-04-20T01:36:58Z
Ref3,65055,2014-04-20T01:46:12Z,1099.19,1180.61,0.488,51.621239,-124.144516,420768.1760119285,5719533.094727692,7,10.8,0.8,R08 R09 R10 R11 R12 R14,R08 R09 R10 R11 R12 R14,2014-04-20T01:46:12Z
Ref5,25316,2014-04-20T01:48:25Z,1261.7,1717.51,0.45,51.626065,-124.142169,420939.0362743392,5720067.2553656185,8,10.7,0.4,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T01:48:25Z
Ref3,65055,2014-04-20T01:56:17Z,1099.38,1180.55,0.488,51.621239,-124.144513,420768.38368771307,5719533.0914752,8,10.8,0.8,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-20T01:56:17Z
Ref5,25316,2014-04-20T01:59:51Z,1261.64,1717.12,0.45,51.626061,-124.14217,420938.960103365,5720066.81160477,8,10.7,0.3,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T01:59:51Z
Ref3,65055,2014-04-20T02:04:43Z,1099.39,1180.44,0.488,51.621238,-124.144513,420768.3819460028,5719532.980264622,8,10.8,0.9,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-20T02:04:43Z
Ref4,65053,2014-04-20T02:05:25Z,846.6,855.33,0.61,51.618316,-124.148163,420510.6043673644,5719211.986631629,3,11.7,1.4,R12 R14 R16 R18 R19 R20,R14 R16 R18 R19 R20,2014-04-20T02:05:25Z
Ref5,25316,2014-04-20T02:10:59Z,1261.62,1717.17,0.45,51.626062,-124.14217,420938.9618416263,5720066.922815456,8,10.7,0.3,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T02:10:59Z
Ref3,65055,2014-04-20T02:13:12Z,1099.29,1181.11,0.488,51.621244,-124.144514,420768.3231710107,5719533.648612255,3,11.1,0.4,R09 R10 R11 R12 R13,R09 R10 R11 R12,2014-04-20T02:13:12Z
Ref5,25316,2014-04-20T02:21:30Z,1261.85,1717.08,0.45,51.626061,-124.142167,420939.1677571677,5720066.808359074,8,10.7,0.1,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T02:21:30Z
Ref3,65055,2014-04-20T02:21:48Z,1099.23,1181.36,0.488,51.621246,-124.144515,420768.25742918375,5719533.872117576,7,10.8,0.3,R08 R09 R10 R11 R12 R14,R08 R09 R10 R11 R12 R14,2014-04-20T02:21:48Z
Ref3,65055,2014-04-20T02:30:36Z,1099.65,1181.28,0.488,51.621245,-124.144509,420768.6710389829,5719533.754402028,8,10.8,0.2,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-20T02:30:36Z
Ref5,25316,2014-04-20T02:30:51Z,1261.82,1717.02,0.45,51.62606,-124.142167,420939.16601891106,5720066.697148385,8,10.7,0.2,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T02:30:51Z
Ref3,65055,2014-04-20T02:39:49Z,1099.24,1181.55,0.488,51.621248,-124.144515,420768.26091261074,5719534.094538733,8,10.8,0.3,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-20T02:39:49Z
Ref5,25316,2014-04-20T02:41:09Z,1261.52,1717.07,0.45,51.626061,-124.142171,420938.8908854302,5720066.812686671,8,10.7,0.4,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T02:41:09Z
Ref3,65055,2014-04-20T02:49:52Z,1099.36,1181.78,0.488,51.62125,-124.144513,420768.40284652746,5719534.314791564,8,10.8,0.4,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-20T02:49:52Z
Ref5,25316,2014-04-20T02:50:01Z,1261.65,1717.2,0.45,51.626062,-124.14217,420938.9618416263,5720066.922815456,8,10.7,0.3,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T02:50:01Z
Ref5,25316,2014-04-20T02:59:21Z,1261.41,1717.04,0.45,51.626061,-124.142173,420938.75244956056,5720066.814850475,8,10.7,0.6,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T02:59:21Z
Ref4,65053,2014-04-20T02:59:45Z,849.15,856.54,0.61,51.618327,-124.148126,420513.1850844181,5719213.169704774,10,11,2,R17 R18 R19 R20 R21 R22,R17 R18 R19 R20 R21 R22,2014-04-20T02:59:45Z
Ref5,25316,2014-04-20T03:09:37Z,1261.57,1717.13,0.45,51.626061,-124.142171,420938.8908854302,5720066.812686671,8,10.7,0.4,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T03:09:37Z
Ref3,65055,2014-04-20T03:13:15Z,1099.33,1180.66,0.488,51.62124,-124.144514,420768.3162041633,5719533.203769941,8,10.8,0.7,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-20T03:13:15Z
Ref5,25316,2014-04-20T03:18:26Z,1261.43,1717.1,0.45,51.626061,-124.142173,420938.75244956056,5720066.814850475,8,10.7,0.5,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T03:18:26Z
Ref3,65055,2014-04-20T03:24:53Z,1098.88,1180.52,0.488,51.621238,-124.14452,420767.8973691633,5719532.987853782,7,10.8,1.1,R08 R09 R10 R11 R12 R14,R08 R09 R10 R11 R12 R14,2014-04-20T03:24:53Z
Ref5,25316,2014-04-20T03:27:42Z,1261.48,1716.97,0.45,51.62606,-124.142172,420938.8199292311,5720066.702557884,8,10.7,0.5,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T03:27:42Z
Ref3,65055,2014-04-20T03:36:25Z,1099.02,1180.58,0.488,51.621239,-124.144518,420768.03756140545,5719533.096896025,8,10.8,0.9,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-20T03:36:25Z
Ref5,25316,2014-04-20T03:37:49Z,1261.43,1717.04,0.45,51.626061,-124.142173,420938.75244956056,5720066.814850475,8,10.7,0.5,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T03:37:49Z
Ref5,25316,2014-04-20T03:46:21Z,1261.51,1717.25,0.45,51.626063,-124.142172,420938.82514402416,5720067.036189946,8,10.7,0.5,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T03:46:21Z
Ref3,65055,2014-04-20T03:47:45Z,1099.64,1180.57,0.488,51.621239,-124.144509,420768.6605887574,5719533.087138557,8,10.8,0.8,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-20T03:47:45Z
Ref5,25316,2014-04-20T03:55:02Z,1261.45,1717.4,0.45,51.626064,-124.142172,420938.82688228856,5720067.147400634,8,10.7,0.6,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T03:55:02Z
Ref3,65055,2014-04-20T03:58:42Z,1099.39,1180.63,0.488,51.621239,-124.144513,420768.38368771307,5719533.0914752,8,10.8,0.8,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-20T03:58:42Z
Ref5,25316,2014-04-20T04:04:00Z,1261.53,1717.5,0.45,51.626065,-124.142171,420938.8978384817,5720067.257529419,8,10.7,0.5,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T04:04:00Z
Ref3,65055,2014-04-20T04:08:53Z,1099.49,1180.52,0.488,51.621238,-124.144511,420768.52039652894,5719532.978096298,8,10.8,0.9,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-20T04:08:53Z
Ref5,25316,2014-04-20T04:13:33Z,1261.53,1717.31,0.45,51.626063,-124.142171,420938.8943619559,5720067.035108045,8,10.7,0.5,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T04:13:33Z
Ref3,65055,2014-04-20T04:17:31Z,1099.57,1180.55,0.488,51.621239,-124.14451,420768.5913634959,5719533.088222716,8,10.8,0.8,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-20T04:17:31Z
Ref5,25316,2014-04-20T04:24:16Z,1261.72,1717.32,0.45,51.626063,-124.142169,420939.0327978194,5720067.032944244,8,10.7,0.3,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T04:24:16Z
Ref3,65055,2014-04-20T04:26:23Z,1099.5,1180.55,0.488,51.621239,-124.144511,420768.52213823615,5719533.089306877,8,10.8,0.8,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-20T04:26:23Z
Ref4,65053,2014-04-20T04:33:00Z,852.05,853.01,0.61,51.618295,-124.148084,420516.0368243422,5719209.565290141,2,11.9,4.5,R11 R12 R13 R15 R19 R20,R13 R15 R19 R20,2014-04-20T04:33:00Z
Ref5,25316,2014-04-20T04:33:58Z,1261.64,1717.35,0.45,51.626063,-124.14217,420938.9635798877,5720067.034026144,8,10.7,0.4,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T04:33:58Z
Ref3,65055,2014-04-20T04:35:44Z,1099.48,1180.59,0.488,51.621239,-124.144512,420768.4529129729,5719533.090391038,8,10.8,0.8,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-20T04:35:44Z
Ref5,25316,2014-04-20T04:44:58Z,1261.52,1717.11,0.45,51.626061,-124.142171,420938.8908854302,5720066.812686671,8,10.7,0.4,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T04:44:58Z
Ref3,65055,2014-04-20T04:46:01Z,1099.53,1180.55,0.488,51.621239,-124.144511,420768.52213823615,5719533.089306877,8,10.8,0.8,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-20T04:46:01Z
Ref2,65056,2014-04-20T04:46:40Z,1221.4,1422.64,0.25,51.623415,-124.142751,420894.1427899849,5719773.17694741,2,11.4,0.6,R04 R05 R06 R07 R08 R33,R04 R05 R06 R07,2014-04-20T04:46:40Z
Ref3,65055,2014-04-20T04:54:54Z,1099.32,1180.91,0.488,51.621242,-124.144514,420768.319687587,5719533.426191098,8,10.8,0.5,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-20T04:54:54Z
Ref5,25316,2014-04-20T04:55:14Z,1261.58,1717.35,0.45,51.626063,-124.142171,420938.8943619559,5720067.035108045,8,10.7,0.4,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T04:55:14Z
Ref5,25316,2014-04-20T05:04:03Z,1261.43,1717.28,0.45,51.626063,-124.142173,420938.7559260924,5720067.037271849,8,10.7,0.5,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-20T05:04:03Z
Ref3,65055,2014-04-20T05:04:17Z,1099.63,1181.14,0.488,51.621244,-124.144509,420768.6692972787,5719533.643191449,8,10.8,0.3,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-20T05:04:17Z
Ref2,65056,2014-04-20T05:05:14Z,1221.81,1421.81,0.25,51.623407,-124.142745,420894.5442091616,5719772.2807675125,1,12.1,1.5,R03 R05 R06 R07 R08 R10,R05 R06 R07,2014-04-20T05:05:14Z
