Name,Latitude,Longitude,Receiver,Device_Depth,SyncTag,TagID,Start Time,STZ,End Time,ETZ,Args
R32,51.62015,-124.14241,108649,0.4,A69-1601-65085,65085,4/19/2014 19:41,0,5/3/2014 11:53,0,Derived
R32,51.62012,-124.14235,108649,0.4,A69-1601-65085,65085,5/3/2014 12:11,0,5/8/2014 17:19,0,Derived
R32,51.62009,-124.14231,108649,0.4,A69-1601-65085,65085,5/8/2014 18:43,0,5/15/2014 14:31,0,Derived
R32,51.62014,-124.14228,108649,0.4,A69-1601-65085,65085,5/15/2014 15:11,0,5/20/2014 19:03,0,Derived
R33,51.62148,-124.14141,108647,1.1,A69-1601-65084,65084,4/19/2014 20:03,0,5/3/2014 11:53,0,Derived
R33,51.6215,-124.14137,108647,1.1,A69-1601-65084,65084,5/3/2014 12:11,0,5/8/2014 17:19,0,Derived
R33,51.62146,-124.14146,108647,1.1,A69-1601-65084,65084,5/8/2014 18:43,0,5/20/2014 18:56,0,Derived
R34,51.62567,-124.14186,108650,0.4,A69-1601-65059,65059,4/17/2014 23:34,0,5/3/2014 11:53,0,Derived
R34,51.62567,-124.14188,108650,0.4,A69-1601-65059,65059,5/3/2014 12:11,0,5/20/2014 22:42,0,Derived
R35,51.62639,-124.14161,101501,0.3,A69-1601-65060,65060,4/17/2014 23:43,0,5/3/2014 11:53,0,Derived
R35,51.62639,-124.14162,101501,0.3,A69-1601-65060,65060,5/3/2014 12:11,0,5/20/2014 22:45,0,Derived
R36,51.62644,-124.14251,108657,0.3,A69-1601-65061,65061,4/17/2014 23:49,0,5/3/2014 11:53,0,Derived
R36,51.62644,-124.14252,108657,0.3,A69-1601-65061,65061,5/3/2014 12:11,0,5/20/2014 22:52,0,Derived
R37,51.62578,-124.14269,108644,0.2,A69-1601-65058,65058,4/17/2014 23:58,0,5/3/2014 11:53,0,Derived
R37,51.62579,-124.14272,108644,0.2,A69-1601-65058,65058,5/3/2014 12:11,0,5/20/2014 22:59,0,Derived
R38,51.61875,-124.14375,101499,2.9,NA,NA,5/7/2014 0:14,0,5/20/2014 19:46,0,Derived
R39,51.61834,-124.14296,108655,2.6,NA,NA,5/7/2014 0:37,0,5/20/2014 19:49,0,Derived
Ref1,51.61392,-124.15092,A69-1601-65054,0.4,A69-1601-65054,65054,4/18/2014 19:03,0,5/3/2014 11:53,0,Derived;Neighbours R21 R24 R25 R26
Ref1,51.61392,-124.15095,A69-1601-65054,0.4,A69-1601-65054,65054,5/3/2014 12:11,0,5/20/2014 17:46,0,Derived;Neighbours R21 R24 R25 R26
Ref2,51.62342,-124.14276,A69-1601-65056,0.3,A69-1601-65056,65056,4/18/2014 23:37,0,5/3/2014 11:53,0,Derived;Neighbours R00 R04 R05 R06 R07 R08
Ref2,51.62342,-124.14277,A69-1601-65056,0.3,A69-1601-65056,65056,5/3/2014 12:11,0,5/20/2014 22:21,0,Derived;Neighbours R00 R04 R05 R06 R07 R08
Ref3,51.62125,-124.14451,A69-1601-65055,0.5,A69-1601-65055,65055,4/19/2014 18:38,0,5/3/2014 11:53,0,Derived;Neighbours R00 R09 R10 R11 R12 R13
Ref3,51.62124,-124.14452,A69-1601-65055,0.5,A69-1601-65055,65055,5/3/2014 12:11,0,5/20/2014 21:53,0,Derived;Neighbours R00 R09 R10 R11 R12 R13
Ref4,51.61831,-124.14814,A69-1601-65053,0.6,A69-1601-65053,65053,4/19/2014 17:34,0,5/3/2014 11:53,0,Derived;Neighbours R15 R16 R17 R18 R19 R20
Ref4,51.61831,-124.14811,A69-1601-65053,0.6,A69-1601-65053,65053,5/3/2014 12:11,0,5/20/2014 21:26,0,Derived;Neighbours R15 R16 R17 R18 R19 R20
Ref5,51.62606,-124.14217,A69-1601-25316,0.5,A69-1601-25316,25316,4/18/2014 9:30,0,5/3/2014 11:53,0,Derived;Neighbours R01 R34 R35 R36 R37
Ref5,51.62607,-124.14218,A69-1601-25316,0.5,A69-1601-25316,25316,5/3/2014 12:11,0,5/20/2014 22:56,0,Derived;Neighbours R01 R34 R35 R36 R37
Ref6,51.61628,-124.14602,A69-1601-65057,9.8,A69-1601-65057,65057,4/22/2014 17:37,0,5/3/2014 11:53,0,Derived;Neighbours R27 R28 R29 R30 R39
Ref6,51.61627,-124.14605,A69-1601-65057,9.8,A69-1601-65057,65057,5/3/2014 12:11,0,5/20/2014 20:24,0,Derived;Neighbours R27 R28 R29 R30 R39
